Data Nascimento,Sexo,Raça,Estrangeiro,Nacionalidade,Naturalidade,UF Naturalidade,Período,Situação atual,Data ocorrência,Estrutura,Período ingresso,Tipo ingresso,IMI,Coeficiente,Tipo de demanda,rga_anonimo
2001-05-10,Masculino,Não Informado,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),12.7,2.13,Ampla Concorrência,c68c3a9f16728f9783f0f4fbf3ec30c25a73cfd95c4004cafb4794a0adc0047d
1997-03-18,Masculino,Branca,Não,BRASILEIRO,RIO BRANCO,AC,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.0,Ampla Concorrência,1c704b4ef26b712f7ff45f84b90fb43c9a6b7f085fde40cd309f92958db3ae21
2004-06-07,Feminino,Branca,Não,BRASILEIRO,BRASILIA,DF,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.0,Ampla Concorrência,9a250c41a24e9fbd9f7846284de42e78a9e11dada80a04473b0c64274bbf284f
1992-06-04,Feminino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,RIBEIRAO CASCALHEIRA,MT,20232,MATRICULADO NO PERÍODO,2023-11-23,20191,20201,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),192.4,6.8,Ampla Concorrência,7a33eeaccc2a22fa293c9219e0d793bc4c9310f1871ff65d4b73bcdd670a1d75
2002-01-24,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,CALDAS NOVAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,67.0,5.45,L5 - Estudante de escola pública,9bc0738b22c92d6cd57c5c01ab0dcebcddc9101a039c325fcb1923a9769a1210
2002-03-24,Masculino,Branca,Não,BRASILEIRO,SAO JOAO DOS PATOS,MA,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),45.7,4.75,L5 - Estudante de escola pública,64efc45fb1ac426e2e77c50af1569ad3b3d4719f61e3dd5bb1ab592aa56383b9
2003-02-03,Masculino,Branca,Não,BRASILEIRO,NOVA XAVANTINA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),61.0,5.49,Ampla Concorrência,638f8a0d1fef4562a03d729691b51ed44e94271bf50b02faeb3e45e5b7443d08
2003-08-24,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,JARAGUA,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),70.1,6.25,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",38581b2b1a2cde9b7fd3dcda9cd85efefd1a1223a37030cfd563d5fd322e6c0d
2002-04-08,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),27.9,7.39,Ampla Concorrência,6231c0f0c38edc79056896eee805d513625bf14e10a5b2c978690daf7811957d
2003-05-10,Masculino,Não Informado,Não,BRASILEIRO,GUAIRA,SP,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),20.3,4.61,Ampla Concorrência,49674d26686cfa002346d97a4393308dde4e4dcac8cf43726d918a00b4794e9e
2003-12-04,Masculino,Branca,Não,BRASILEIRO,CARAPICUIBA,SP,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),61.0,5.13,Ampla Concorrência,78d42f3e85a8ff203cb83e196aacc917314c21b3b7316b71d34dd86960bc580c
2001-02-06,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,SAO MIGUEL DO GUAPORE,RO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),3.0,1.4,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",e68bb4a6f835f78144cbf3c907c667118cf26d2b8f57fa076a821303862d0454
2004-06-07,Masculino,Branca,Não,BRASILEIRO,BRASILIA,DF,20232,AFASTAMENTO POR TRANCAMENTO DE MATRICULA,2023-12-11,20191,20231,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,0.0,0.0,L5 - Estudante de escola pública,4e69c68b8e858a812e4bffd0c40837fc4b3b0035a16a750a9f611b278ad95b39
2000-01-06,Masculino,Negra,Não,BRASILEIRO,JARU,RO,20232,MATRICULADO NO PERÍODO,2023-12-01,20191,20171,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),25.6,3.53,L6 - Estudante preto pardo ou indígena de escola pública,af52998deb5a56510467ae57c0512fff3f86db690d5a10808c72e16f985a9282
2003-07-08,Masculino,Branca,Não,BRASILEIRO,TANGARA DA SERRA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),63.5,4.82,Ampla Concorrência,66767870e5391987da7fee022043d8390c889a69735022dab8893d5e77804db3
